Sample	Type	MRP20	ColonySizes	Frequency
F2_D_mrp20_99	segregant	mrp20	0.003,0.003,0.003,0.002,0.003,0.001,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.001	14.2857142857143
F2_D_mrp20_290	segregant	mrp20	0.004,0.004,0.003,0.001,0.000964,0.005,0.001,0.002,0.001,0.005,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.000806,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004	12.8205128205128
F2_E_mrp20_233	segregant	mrp20	0.002,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.003	0
F2_E_mrp20_140	segregant	mrp20	0.009,0.009,0.008,0.009,0.008,0.007,0.009,0.007,0.011,0.008,0.007,0.007,0.008,0.011,0.009,0.009,0.008,0.007,0.007,0.009,0.006,0.009,0.008,0.008,0.009,0.009,0.008,0.008,0.01,0.008,0.008,0.015,0.007,0.007,0.008	0
F2_D_mrp20_282	segregant	mrp20	0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.001,0.002,0.002,0.002,0.002	11.1111111111111
F2_D_mrp20_46	segregant	mrp20	0.002,0.000794,0.001,0.000906,0.002,0.003,0.001,0.000519,0.001,0.000833,0.001,0.001,0.000997,0.002,0.001,0.001,0.000625,0.001,0.001,0.000153,0.001,0.001,0.001,0.000875,0.001,0.001,0.000853,0.002,0.000783,0.000967,0.000744,0.001,0.000772	84.8484848484848
F2_E_mrp20_206	segregant	mrp20	0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.003,0.002	0
F2_E_mrp20_87	segregant	mrp20	0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.004,0.004,0.002,0.004,0.003,0.003,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.005,0.003,0.003,0.003,0.003,0.003,0.004	0
F2_D_mrp20_326	segregant	mrp20	0.000697,0.000989,0.000856,0.003,0.000825,0.001,0.004,0.001,0.000989,0.004,0.003,0.003,0.001,0.003,0.002,0.003,0.001,0.001,0.000597	57.8947368421053
F2_D_mrp20_236	segregant	mrp20	0.003,0.000761,0.000906,0.000842,0.003,0.000939,0.003,0.000722,0.003,0.000697,0.000694,0.003,0.000975,0.001,0.001,0.000875,0.000825,0.000875,0.000917,0.003,0.000953,0.001,0.000897,0.000811,0.00095,0.000878,0.003,0.001,0.000633	75.8620689655172
F2_E_mrp20_395	segregant	mrp20	0.008,0.000258,0.008,0.009,0.008,0.006,0.008,0.01,0.01,0.009,0.000642,0.009,3.33e-05,0.000589,0.007,0.009,0.008,0.007,0.008,0.008,0.009,0.008,0.000422,0.007,0.009,0.005,0.007,0.008,0.007	17.2413793103448
F2_E_mrp20_365	segregant	mrp20	0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.004,0.004,0.006,0.003,0.002,0.004,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.002,0.002,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.004,0.003,0.003,0.004,0.003,0.006,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004	0
F2_D_mrp20_226	segregant	mrp20	0.002,0.002,0.001,0.000628,0.000547,0.000389,0.000753,0.002,1.67e-05,0.000533,0.000408,0.000381,0.000503,0.002,0.000697,0.001,8.33e-05,0.002,0.000492,0.000814,0.000453,0.000733,0.002,0.000425,0.002,0.000975,0.000567,0.000914,0.000539,0.000803,0.001,0.000289,0.000536,0.00085,0.000681,0.000369,0.001,3e-04,0.002,0.002,0.000975,0.002,0.000617,0.002,5.56e-06,0.000706,0.001,0.000511,0.002,0.000594,0.000253,0.000658,0.002,0.002,0.000186,0.002,0.000822,8.06e-05,0.000358,0.002,0.000692,0.002,0.00045,0.000786,0.000306,0.000544,0.000119,0.001,0.000783,0.000406,0.001,0.000972,0.000472,0.000669,0.000225,0.002,0.000194	76.6233766233766
F2_D_mrp20_16	segregant	mrp20	0.004,0.005,0.004,0.005,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.000731,0.001,0.005,0.001,0.001,0.005,0.000242	22.7272727272727
F2_E_mrp20_118	segregant	mrp20	0.005,0.005,0.005,0.005,0.004,0.000447,0.004,0.005,0.006,0.005,0.006,0.005,0.005,0.005,0.006,0.005,0.006,0.005,0.000381,0.005,0.005,0.007,0.000228,0.004,0.005,0.005,0.004,0.005,0.005,0.006,0.005,0.005,0.005,0.006,0.008,0.009,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.005,0.005,0.004,0.005,0.01,0.004,0.005,0.005,0.004,0.004,0.005,0.005,0.006,0.002,0.005	4.28571428571429
F2_E_mrp20_380	segregant	mrp20	0.006,0.005,0.004,0.005,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.004,0.005	0
F2_D_mrp20_337	segregant	mrp20	0.000797,0.000836,0.000875,0.001,0.002,0.001,0.000861,0.001,0.000892,0.000878,0.002,0.000917,0.000797,0.000972,0.000683,0.001,0.002,0.001,0.00095,0.000544,0.000886,0.000739,0.000553,0.001	87.5
F2_D_mrp20_308	segregant	mrp20	0.002,0.001,0.002,0.002,0.002,0.003,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.002,0.002,0.002,0.004,0.002,0.002,0.001,0.002,0.001,0.002,0.001,0.002,0.002,0.001,0.002,0.002,0.004,0.004,0.001,0.002	28.5714285714286
